,Fecha,Abrir,Máx.,Mín.,Cierre,Cierre ajus.,Volumen,rendimientos
0,2010-02-28,1103.544,1107.606,1095.328,1103.056,1103.056,4194034000.0,-0.0005576204130053461
1,2010-03-31,1149.4421739130435,1155.7460869565218,1145.9943478260868,1152.0486956521738,1152.0486956521738,4507980434.782609,0.0024840330715427362
2,2010-04-30,1196.3909523809523,1202.6342857142856,1189.5314285714285,1197.3161904761905,1197.3161904761905,5559138571.428572,0.0006976889672315758
3,2010-05-31,1129.105,1139.656,1109.045,1125.0620000000001,1125.0620000000001,6383139000.0,-0.004276582681688496
4,2010-06-30,1086.2818181818182,1095.1995454545454,1074.715909090909,1083.360909090909,1083.360909090909,5004852272.727273,-0.0025176536423807505
5,2010-07-31,1076.7885714285715,1086.3309523809523,1067.6657142857143,1079.8033333333333,1079.8033333333333,4513243333.333333,0.0031674182511709356
6,2010-08-31,1088.5345454545457,1094.4695454545456,1079.3545454545454,1087.2822727272726,1087.2822727272726,3897193181.818182,-0.0022096274168355644
7,2010-09-30,1118.2980952380954,1127.0152380952381,1114.1180952380953,1122.0819047619048,1122.0819047619048,3789973809.5238094,0.003996594052156329
8,2010-10-31,1169.9728571428573,1176.3538095238096,1163.7528571428572,1171.5838095238094,1171.5838095238094,4263631904.7619047,0.001723476224318456
9,2010-11-30,1198.232857142857,1203.9257142857143,1190.2928571428572,1198.8885714285714,1198.8885714285714,4150050952.3809524,-0.00010918616605048615
10,2010-12-31,1238.8990909090908,1244.2022727272727,1236.1472727272726,1241.5254545454545,1241.5254545454545,3681115000.0,0.0028752962373602615
11,2011-01-31,1281.3545,1286.889,1275.5430000000001,1282.6185,1282.6185,4608247000.0,0.0011196492628258502
12,2011-02-28,1318.3431578947368,1324.5363157894735,1312.7905263157895,1321.117894736842,1321.117894736842,3117034736.8421054,0.0016556102652707943
13,2011-03-31,1304.6160869565217,1312.1878260869564,1295.9126086956521,1304.4865217391305,1304.4865217391305,3891636521.7391305,-4.5558725345124994e-05
14,2011-04-30,1330.0335,1335.7125,1324.9924999999998,1331.5049999999999,1331.5049999999999,3868240500.0,0.0014048458183564794
15,2011-05-31,1338.7985714285714,1345.2361904761904,1331.0614285714287,1338.3104761904763,1338.3104761904763,3890903809.5238094,-0.0006472806618874853
16,2011-06-30,1288.445,1296.101818181818,1279.6513636363636,1287.2886363636362,1287.2886363636362,3914669545.4545455,-0.0008375560591771525
17,2011-07-31,1326.674,1334.054,1317.5194999999999,1325.1845,1325.1845,4055108500.0,-0.0010854183717713506
18,2011-08-31,1188.3,1205.7686956521738,1166.7308695652173,1185.305652173913,1185.305652173913,4713876956.521739,-0.002542064853005235
19,2011-09-30,1178.0014285714285,1190.2161904761906,1160.4638095238095,1173.8790476190475,1173.8790476190475,4894610476.190476,-0.0035460536925134944
20,2011-10-31,1201.5590476190478,1217.194761904762,1189.6299999999999,1207.2161904761906,1207.2161904761906,4669698571.428572,0.004871742459551936
21,2011-11-30,1226.6885714285713,1238.7995238095239,1213.2809523809524,1226.414761904762,1226.414761904762,4013097619.047619,-0.00024149921127051053
22,2011-12-31,1242.912857142857,1253.0185714285715,1234.672857142857,1243.3228571428572,1243.3228571428572,3559163333.3333335,0.00040459778543553104
23,2012-01-31,1297.917,1304.5875,1291.2095,1300.578,1300.578,3978378000.0,0.002132999950556876
24,2012-02-29,1349.73,1356.2405,1344.7415,1352.4875,1352.4875,3919285500.0,0.0019893665693209183
25,2012-03-31,1387.2918181818184,1393.5645454545456,1381.4504545454545,1389.24,1389.24,3813620909.090909,0.0014023425346623463
26,2012-04-30,1386.934,1394.275,1378.556,1386.429,1386.429,3738085500.0,-0.00037628723980242856
27,2012-05-31,1345.1172727272726,1351.4018181818183,1333.9477272727272,1341.2727272727273,1341.2727272727273,3950931363.6363635,-0.0029408750077485916
28,2012-06-30,1321.1390476190475,1331.9385714285713,1312.007619047619,1323.4842857142858,1323.4842857142858,3884878095.2380953,0.0018472695830398852
29,2012-07-31,1358.9490476190476,1366.0166666666667,1349.9842857142855,1359.7761904761905,1359.7761904761905,3481133809.5238094,0.000596140427271938
30,2012-08-31,1402.2865217391304,1408.3365217391306,1397.1134782608697,1403.4482608695653,1403.4482608695653,3055817826.0869565,0.0008508957393209531
31,2012-09-30,1441.6247368421052,1448.7115789473685,1436.5105263157895,1443.4194736842105,1443.4194736842105,3672856842.105263,0.0012603714236947693
32,2012-10-31,1439.2285714285713,1445.9680952380954,1431.7909523809524,1437.8166666666668,1437.8166666666668,3416777142.857143,-0.0009518017170714242
33,2012-11-30,1394.3028571428572,1402.7309523809522,1385.6100000000001,1394.5123809523811,1394.5123809523811,3404252857.142857,0.00013536470179335286
34,2012-12-31,1421.8035,1428.6515,1414.6895,1422.2855,1422.2855,3319409000.0,0.0003521723555728777
35,2013-01-31,1476.97,1483.1128571428571,1472.7066666666667,1480.395238095238,1480.395238095238,3611833809.5238094,0.002342750509170389
36,2013-02-28,1511.4394736842105,1518.8773684210528,1504.6236842105263,1512.3115789473686,1512.3115789473686,3645972631.5789475,0.0005789411520082132
