Fecha;SMB;HML
28/2/10;-0.000599999999999999;0.00226
31/3/10;0.000908695652173913;0.0014304347826087
30/4/10;0.00252857142857142;0.00187619047619047
31/5/10;0.00444999999999999;-0.00065
30/6/10;-0.000509090909090909;-0.00168181818181818
31/7/10;0.00476190476190475;0.00952380952380948
31/8/10;-0.0010590909090909;-0.000427272727272727
30/9/10;0.00204761904761904;-0.00083809523809523
31/10/10;0.000895238095238095;-0.00067619047619047
30/11/10;0.00204285714285714;0.000104761904761905
31/12/10;0.000581818181818181;0.00212272727272727
31/1/11;-0.000865;0.000889999999999999
28/2/11;0.00112105263157895;0.00112105263157895
31/3/11;0.00140434782608695;-0.00027391304347826
30/4/11;0.00155;-0.000725
31/5/11;0.00038095238095239;-0.000495238095238095
30/6/11;0.00359138300317391;0.000345454545454546
31/7/11;0.00324999999999999;0.000045000000000001
31/8/11;-0.00090434782608695;-0.0005
30/9/11;-0.00128571428571428;-0.000233333333333333
31/10/11;0.00184761904761904;0.000614285714285714
30/11/11;0.00428571428571433;0.000333333333333334
31/12/11;0.0071428571428572;0.0013
31/1/12;0.001265;0.00007
29/2/12;-0.00056;0.000715
31/3/12;0.0045454545454546;0.001
30/4/12;0.00130000000000001;0.00011
31/5/12;0.000545454545454549;-0.000027272727272727
30/6/12;0.000642857142857142;0.00079047619047619
31/7/12;-0.00101428571428571;0.00952380952381017
31/8/12;0.000530434782608695;0.00103913043478261
30/9/12;0.000563157894736842;0.00134736842105263
31/10/12;-0.000247619047619047;0.00223333333333333
30/11/12;0.000604761904761904;0.000090476190476191
31/12/12;0.00106;0.00223999999999999
31/1/13;0.00433333333333333;0.000928571428571428
28/2/13;0.00157894736842106;0.00736842105263163
31/3/13;0.00069;0.00799999999999994
30/4/13;-0.00073636363636363;0.000713636363636363
31/5/13;0.00107727272727273;0.00167727272727272
30/6/13;0.000959999999999999;0.00250000000000051
31/7/13;0.00109090909090909;0.000759090909090909
31/8/13;0.00459090909090909;-0.00075454545454545
30/9/13;0.001675;-0.00008
31/10/13;-0.000343478260869565;0.00102173913043478
30/11/13;0.000925;0.00064
31/12/13;0.00095238095238096;0.00952380952380903
31/1/14;0.000761904761904761;-0.0005095238095238
28/2/14;0.000510526315789473;0.000321052631578948
31/3/14;-0.000547619047619047;0.00283809523809523
30/4/14;-0.00169523809523809;0.00105238095238095
31/5/14;-0.000552380952380952;0.00571428571428566
30/6/14;0.00173809523809523;0.000204761904761905
